beta,time,cost
0.000000,66,2190590187985.550049
0.000000,65,2084122940374.732178
0.000000,66,2143088003792.943604
0.000000,65,2082172913438.142578
0.000000,63,2070503877285.511475
0.000000,64,2051805690926.265869
0.000000,64,2083406438456.382812
0.000000,64,2088776212624.968018
0.000000,68,2124548901515.328369
0.000000,63,2160118894029.663818
0.000000,65,2069993445456.455811
0.000000,65,2089455070793.536865
0.000000,65,2098895715493.278809
0.000000,65,2087954766452.396240
0.000000,63,2083575670944.566650
0.000000,63,2158527217375.929932
0.000000,67,2006176205537.308105
0.000000,63,2032212407234.624512
0.000000,65,2147662847469.650635
0.000000,66,2052666488368.350342
0.000000,63,2106155924239.400879
0.000000,65,2074335103301.411377
0.000000,65,2076626964434.469482
0.000000,65,2167109459653.099365
0.000000,63,2044675322154.710938
0.000000,64,2098572262626.153809
0.000000,62,2189636583191.886719
0.000000,65,2075638885230.875488
0.000000,66,2044890615094.731201
0.000000,63,2186145339412.201172
0.000000,65,2155791751374.429443
0.000000,67,2025840437397.989502
0.000000,62,2129304716964.447754
0.000000,64,2052578024013.216064
0.000000,64,2039276488646.490234
0.000000,66,2095403748943.255615
0.000000,64,2139883539970.680664
0.000000,65,2094696406962.361328
0.000000,68,2089437278918.909912
0.000000,65,2119364538616.678223
0.000000,65,2167009871361.381592
0.000000,63,2011722739974.518311
0.000000,63,2015643465259.642090
0.000000,64,2016046951202.160400
0.000000,65,2172949076815.312012
0.000000,64,2085413514458.378418
0.000000,64,2079360404990.772217
0.000000,65,2063684590966.974854
0.000000,65,2119017794521.351562
0.000000,64,2050515141236.906250
0.000000,65,2120432663854.763672
0.000000,64,2050448746270.502441
0.000000,64,2101327720954.649414
0.000000,64,2111927577642.320312
0.000000,65,2040156524432.910400
0.000000,65,2121958773162.010254
0.000000,64,2143685427186.427490
0.000000,64,2027851013180.972656
0.000000,64,2038374976199.199707
0.000000,63,2100041282409.025146
0.000000,64,2021898411522.588135
0.000000,66,2168708425703.676758
0.000000,63,2160844079890.033203
