beta,time_mean,time_std,time_var,time_min,time_max,cost_mean,cost_std,cost_var,cost_min,cost_max,valid_samples
0.510000,103.013000,0.113274,0.012831,103.000000,104.000000,2109709849075.039551,50593186917.998116,2559670562519495737344.000000,1936172532461.575195,2269294454428.968262,1000
0.520000,103.013000,0.113274,0.012831,103.000000,104.000000,2110524648195.707520,51397662965.082474,2641719758272210665472.000000,1936171483397.495117,2269299082767.517090,1000
0.530000,103.013000,0.113274,0.012831,103.000000,104.000000,2110696633871.920898,52057537531.704353,2709987213864807170048.000000,1936170425584.807861,2269303690454.315430,1000
0.540000,103.012000,0.108885,0.011856,103.000000,104.000000,2110326673250.945068,51913361849.271988,2694997138493448126464.000000,1936169360752.093750,2269308263500.909668,1000
0.550000,103.012000,0.108885,0.011856,103.000000,104.000000,2111127917319.554443,51913895981.933350,2695052596022995320832.000000,1936168290787.002441,2269312787553.000977,1000
0.560000,103.012000,0.108885,0.011856,103.000000,104.000000,2110190065608.328857,51622917780.634789,2664925640186179616768.000000,1936167217779.474609,2269317247926.466309,1000
0.570000,103.011000,0.104302,0.010879,103.000000,104.000000,2109611008926.945068,51835160555.700111,2686883869835208949760.000000,1963650178049.070312,2269321629648.272461,1000
0.580000,103.011000,0.104302,0.010879,103.000000,104.000000,2109916066667.450439,51066455682.554878,2607782895978341728256.000000,1963648856782.790527,2251194395991.069824,1000
0.590000,103.011000,0.104302,0.010879,103.000000,104.000000,2110861986868.709961,51753601542.586357,2678435272628796653568.000000,1960311346957.348633,2251191595425.767578,1000
0.600000,103.010000,0.099499,0.009900,103.000000,104.000000,2111465087366.350830,50943426528.500305,2595232706464708558848.000000,1960313972449.230713,2251188094726.077637,1000
0.610000,103.011000,0.104302,0.010879,103.000000,104.000000,2110699281872.673340,50472499971.547256,2547473253377837629440.000000,1942128824041.884033,2251184075615.449219,1000
0.620000,103.012000,0.108885,0.011856,103.000000,104.000000,2109997274845.752441,50284594333.352692,2528540427269845286912.000000,1942132472757.989746,2251179960629.708008,1000
0.630000,103.012000,0.108885,0.011856,103.000000,104.000000,2110369746982.921631,50130734170.497673,2513090508473102761984.000000,1942135740369.520508,2241115876961.597656,1000
